AMANDA, , BELL, , F, , 12/30/2003, 570-811-9657, 570-811-9657, 340 BEACH 66ST, PH, FAR ROCKAWAY, NY, 11692, , ABELL@AMGGT.COM, , 15790506, 
LESLIE, R, HARDER, , F, , 5/8/1995, 929-837-5869, 845-294-3574^^929-837-5869, 995 ALDUS STREET, 5A, BRONX, NY, 10467, , , 821305, 15573978, 

DAVID, JOHN, JOSEPH, , M, , 2/6/2013, , , MABON BUILDING, , , , 10035, ROCHA, , , 15690743, 
DAVID, , JOSEPH, , M, , 2/6/2013, 551-416-2324, 551-416-2324, 219 E 121 STREET, , NEW YORK, NY, 10035, , , 756379, 15625310, 
DAVID, JOHN, JOSEPH, , M, , 2/6/2013, 551-416-2324, 551-416-2324, MABON BUILDING, , NEW YORK, NY, 10035, ROCHA, DJOSEPH@AMGGT.COM, 808575, 15807095, 

CELIA, , ADAMS, , F, , 12/7/2000, , , UNK, , , , 10001, , , , 15829586, 
CELIA, , ADAMS, , F, , 12/7/2000, 516-972-3551, 203-118-1136^^516-972-3551, UNK, , NEW YORK, NY, 10001, , , 774690, 15539381, 
CELIA, , ADAMS, , F, , 12/7/2000, 516-972-3551, 516-972-3551, 880 THIERIOT AVENUE, 1H, BRONX, NY, 10473, , , 803751, 15635206, 

CONNIE, , LAWRENCE, , M, , 6/25/1943, , , , , , , , , , , 15677749, 
CONNIE, BRENT, LAWRENCE, , M, , 6/25/1943, 917-831-9099, 973-970-7623^^917-831-9099, 13740 45TH AVENUE, 4D, FLUSHING, NY, 11355, , , 738623, 15845163, 
CONNIE, BRENT, LAWRENCE, , M, , 6/25/1943, 203-954-8726, 203-954-8726, 9116 117TH STREET, 2 F, RICHMOND HILL, NY, 11418, , , 744474, 15950520, 

ROBERT, , WALLACE, , M, , 8/30/2008, , , , , , , , , , , 15939828, 
ROBERT, , WALLACE, , M, , 8/30/2008, 518-549-6978, , 137 E 35ST, , BROOKLYN, NY, 11203, , , 783773, 15890064, 
ROBERT, , WALLACE, , M, , 8/30/2008, 518-549-6978, , 457 HANCOCK STREET, A1, BROOKLYN, NY, 11233, , , 816104, 15667553, 

PARKER, PAUL, RANSON, , M, , 6/28/2008, , , 10444 42ND AVENUE, 1A, , , 11368, , , , 15467923, 
PARKER, PAUL, RANSON, , M, , 6/28/2008, 934-229-8589, 934-229-8589, 10444 42ND AVENUE, 1A, CORONA, NY, 11368, , , 736556, 15401062, 
PARKER, , RANSON, , M, , 6/28/2008, 934-229-8589, 934-229-8589, 104 42ND AVENUE, , CORONA, NY, 11368, , , 747847, 15820293, 

MARCO, , NORTON, , M, , 8/14/1998, , , 3830 BX BOULEVARD, 3, , , 10468, , , , 15524975, 
MARCO, , NORTON, , M, , 8/14/1998, 973-695-2054, 267-618-6858^^973-695-2054, 4138 BARNES AVENUE, 4D, BRONX, NY, 10468, , , 753044, 15460946, 
MARCO, , NORTON, , M, , 8/14/1998, 973-695-2054, 973-695-2054, 3830 BX BOULEVARD, 3, BRONX, NY, 10468, , MNORTON@AMGGT.COM, 805322, 16008258, 

JESSICA, , RUGGIERO, , F, , 4/24/1945, , , , , , , , , , , 15884333, 
JESSICA, , RUGGIERO, , F, , 4/24/1945, 908-235-5508, 908-235-5508, , , , , , , , 715711, 15718211, 
JESSICA, , RUGGIERO, , F, , 4/24/1945, 934-554-1463, 631-695-8548^^934-554-1463, 219 EAST 121ST STREET, , NEW YORK, NY, 10035, , , 729672, 15653766, 

JASE, , KIM, , M, , 11/18/1999, , , , , , , , , , , 15605927, 
JASE, ERIC, KIM, , M, , 11/18/1999, 908-950-9597, 908-950-9597, 2960 W 24 STREET, 6P, BROOKLYN, NY, 11224, , , 745559, 15414519, 
JASE, E, KIM, , M, , 11/18/1999, 908-950-9597, 908-950-9597, 293 MARTENSE STREET, GB, BROOKLYN, NY, 11226, , JKIM@AMGGT.COM, 806538, 15599501, 

RONALD, , DOXTADER, , M, , 2/3/2003, , , 280 MARTENSE STREET, 2FL, , , 11226, , , , 15985345, 
RONALD, , DOXTADER, , M, , 2/3/2003, 973-111-1436, 973-111-1436, 280 MARTENSE STREET, 2FL, BROOKLYN, NY, 11226, , , 781916, 15845220, 
RONALD, S, DOXTADER, , M, , 2/3/2003, 973-111-1436, 973-111-1436, 674 E 55TH STREET, PH, BK, NY, 11220, ROCHELEAU, RDOXTADER@AMGGT.COM, 781918, 15518157, 

HELEN, THAOTHI, PHAM, , F, , 12/6/2012, , , 520 GATES AVENUE, 2, , , 11218, , , , 15748321, 
HELEN, , PHAM, , F, , 12/6/2012, 267-246-1447, 267-246-1447, , , , , , , , 813380, 16018698, 
HELEN, THAOTHI, PHAM, , F, , 12/6/2012, 267-246-1447, 267-246-1447, 520 GATES AVENUE, 2, BROOKLYN, NY, 11218, , HPHAM@AMGGT.COM, 817470, 15438757, 

ROBERT, , WOOD, , M, , 7/9/2006, , , 4220 104TH STREET, 4A, , , 11369, , , , 15621346, 
ROBERT, , WOOD, , M, , 7/9/2006, 484-363-1365, 484-363-1365, 4220 104TH STREET, 4A, EAST ELMHURST, NY, 11369, , , 725779, 15504945, 
ROBERT, , WOOD, , M, , 7/9/2006, 484-363-1365, 484-363-1365, 4212 104 STREEET, 4A, CORONA, NY, 11368, , RWOOD@AMGGT.COM, 778430, 15966866, 

JOHN, , MAZZAFERRO, , M, , 8/27/2005, , , , , , , , , , , 15541688, 
JOHN, TIM, MAZZAFERRO, , M, , 8/27/2005, 848-362-3733, 848-362-3733, 8767 FRANCIS LEWIS BOULEVARD, PH, QUEENS VILLAGE, NY, 11427, , , 739482, 15655484, 
JOHN, , MAZZAFERRO, , M, , 8/27/2005, 848-362-3733, 848-362-3733, , , , , , , , 778369, 15487407, 

KELLY, , KLABER, , F, , 12/21/1965, , , , , , , , , , , 15842966, 
KELLY, , KLABER, , F, , 12/21/1965, 347-293-2906, 347-293-2906, 2095 WEBSTER AVENUE, 2N, BRONX, NY, 10457, , , 713155, 15595230, 
KELLY, , KLABER, , F, , 12/21/1965, 570-534-5457, 609-954-3635^^570-534-5457, 2405 GRAND AVENUE, 2B, BRONX, NY, 10468, , , 796296, 15634565, 

DAVID, SAMUEL, MCKEE, , M, , 8/9/1994, , , 5911 NOBLE DRIVE, PH, , , 47553, , , , 15812587, 
DAVID, SAMUEL, MCKEE, , M, , 8/9/1994, 609-964-5884, 609-964-5884, 5911 NOBLE DRIVE, PH, LOOGOOTEE, IN, 47553, , , 773962, 15751064, 
DAVID, SAMUEL, MCKEE, , M, , 8/9/1994, 609-964-5884, 609-964-5884, 1009 BURKE AVENUE, PH, BRONX, NY, 10469, , , 816641, 15478361, 

MATTHEW, FLOYD, JOHNSON, , M, , 6/26/2005, , , 22531 112TH ROAD, PH, , , 11429, , , , 15594911, 
MATTHEW, , JOHNSON, , M, , 6/26/2005, 609-600-9393, 631-132-3685^^609-600-9393, 2555 GRAND CONCOURSE, 3E, BRONX, NY, 10468, , , 744908, 15832466, 
MATTHEW, FLOYD, JOHNSON, , M, , 6/26/2005, 609-600-9393, 609-600-9393, 22531 112TH ROAD, PH, QUEENS VILLAGE, NY, 11429, , MJOHNSON@AMGGT.COM, 790550, 15772209, 

SITTI, , DUNAWAY, , M, , 12/18/1993, , , 1990 LEXINGTON AVENUE, 9G, , , 10035, , , , 15753838, 
SITTI, OSCAR, DUNAWAY, , M, , 12/18/1993, 484-816-9358, 484-816-9358, 1269 SHERIDAN AVENUE, 5D, BRONX, NY, 10456, , , 759242, 15962032, 
SITTI, , DUNAWAY, , M, , 12/18/1993, 484-816-9358, 484-816-9358, 1990 LEXINGTON AVENUE, 9G, NEW YORK, NY, 10035, , SDUNAWAY@AMGGT.COM, 816833, 15483378, 

MARIA, , BRUNO, , F, , 7/2/2014, , , 2041 HOLLAND AVENUE, 3F, , , 10462, , , , 15745801, 
MARIA, MOORES, BRUNO, , F, , 7/2/2014, 551-539-1604, 551-539-1604, 1856 MAYFLOWER AVENUE, , BRONX, NY, 10461, SUNDEBERGSABELLA, MBRUNO@AMGGT.COM, 797350, 15803904, 
MARIA, , BRUNO, , F, , 7/2/2014, 551-539-1604, 551-539-1604, 2041 HOLLAND AVENUE, 3F, BRONX, NY, 10462, , , 815002, 15718897, 

JAXON, J, SCHMIERER, , M, , 8/16/1994, , , , , , , , , , , 15545899, 
JAXON, J, SCHMIERER, , M, , 8/16/1994, 973-270-3066, 973-294-3110^^973-270-3066, , , , , , , , 733687, 15500841, 
JAXON, JAMES, SCHMIERER, , M, , 8/16/1994, 973-270-3066, 973-270-3066, 14325 84TH DRIVE, 2 F, JAMAICA, NY, 11435, HASS, JSCHMIERER@AMGGT.COM, 807997, 15867167, 

SCOTT, CHARLES, SPRUILL, , M, , 6/3/2009, , , 350 E150TH STREET, 1C, , , 10454, , , , 15435419, 
SCOTT, , SPRUILL, , M, , 6/3/2009, 848-301-8653, 848-301-8653, 2343 PROSPECT AVENUE, 3H, BRONX, NY, 10459, , , 736577, 15917037, 
SCOTT, CHARLES, SPRUILL, , M, , 6/3/2009, 848-301-8653, 848-301-8653, 350 E150TH STREET, 1C, BRONX, NY, 10454, , , 742224, 15964838, 

ROBERT, , GOLDMAN, , M, , 12/19/2011, , , 38 FEATHERBED LANE, 4I, , , 10452, , , , 15799639, 
ROBERT, , GOLDMAN, , M, , 12/19/2011, 845-350-9257, 845-350-9257, 38 FEATHERBED LANE, 4I, BRONX, NY, 10452, , , 826860, 15964361, 
ROBERT, , GOLDMAN, , M, , 12/19/2011, 845-350-9257, 845-350-9257, 3840 FEATHERBED LANE, 3I, BRONX, NY, 10452, , , 829859, 15620630, 

ELY, , COWAN, , M, , 8/18/2014, , , 653 RIVER AVENUE, , , , 10451, , , , 15662430, 
ELY, , COWAN, , M, , 8/18/2014, 929-417-6557, 929-417-6557, 653 RIVER AVENUE, , BRONX, NY, 10451, , , 739282, 15449627, 
ELY, RYAN, COWAN, , M, , 8/18/2014, 929-417-6557, 929-417-6557, 1 MABON BUILDING, 13, NEW YORK, NY, 10035, HARTAGE, ECOWAN@AMGGT.COM, 804489, 15999708, 

CHRISTOPHER, , ZARAGOSA, , M, , 4/17/2007, , , , , , , , , , , 15868797, 
CHRISTOPHER, , ZARAGOSA, , M, , 4/17/2007, 718-179-9246, 718-179-9246, 256 STAGG STREET, 2L, BROOKLYN, NY, 11206, , , 716442, 15808253, 
CHRISTOPHER, , ZARAGOSA, , M, , 4/17/2007, 718-179-9246, 718-179-9246, , , , , , , , 716471, 15835807, 

JADE, , DANZIGER, , F, , 12/7/1998, 267-713-4389, 267-713-4389, 3730 73RD STREET, 3G, JACKSON HEIGHTS, NY, 11372, , , , 15473735, 
ANAIA, SEPTEMBER, DANZIGER, , F, , 12/7/1998, , , 3730 73RD STREET, 3G, , , 11372, , , , 15467402, 
JADE, , DANZIGER, , F, , 12/7/1998, 929-942-8487, 929-942-8487, , , , , , , , , 15481204, 

ANTONIO, ALEXANDER, CALHOUN, , M, , 8/24/2002, , , 1010 HAZEN STREET, , , , 11370, , , , 15664121, 
ANTONIO, ALEXANDER, CALHOUN, , M, , 8/24/2002, 848-265-1587, 848-265-1587, 1010 HAZEN STREET, , FLUSHING, NY, 11370, , ACALHOUN@AMGGT.COM, 711302, 15905595, 
ANTONIO, , CALHOUN, , M, , 8/24/2002, 848-265-1587, 848-265-1587, 1414 HAZEN STREET, , FLUSHING, NY, 11373, , , 716118, 15732867, 

AUDREY, , INGRASSIA, , F, , 4/10/2007, , , 785 COURTLAND AVENUE, 7D, , , 10451, , , , 15783171, 
AUDREY, , INGRASSIA, , F, , 4/10/2007, 267-668-2482, 267-668-2482, 1260 METCALF AVENUE, 2FL, BRONX, NY, 10472, , AINGRASSIA@AMGGT.COM, 765057, 15634098, 
AUDREY, , INGRASSIA, , F, , 4/10/2007, 267-668-2482, 267-668-2482, 785 COURTLAND AVENUE, 7D, BRONX, NY, 10451, , , 815886, 16005725, 

KATHY, , COPE, , F, , 12/12/2005, , , 1684 GRAND CONCOURSE, 3A, , , 10457, , , , 16010598, 
KATHY, , COPE, , F, , 12/12/2005, 570-847-8679, 570-847-8679, 1074 SUMMIT AVENUE, 1E, BRONX, NY, 10455, , KCOPE@AMGGT.COM, 747954, 15875426, 
KATHY, , COPE, , F, , 12/12/2005, 570-847-8679, 570-847-8679, 1684 GRAND CONCOURSE, 3A, BRONX, NY, 10457, , , 756485, 15400031, 

LYNN, , HUNTE, , F, , 5/28/1997, , , 680 MELROSE AVENUE, 2S, , , 10455, , , , 15531739, 
LYNN, , HUNTE, , F, , 5/28/1997, 610-374-3157, 610-374-3157, 680 MELROSE AVENUE, 2S, BRONX, NY, 10455, , , 733244, 15563113, 
LYNN, , HUNTE, , F, , 5/28/1997, 610-374-3157, 631-768-2324^^610-374-3157, 324 E 148TH STREET, 3, BRONX, NY, 10454, , , 736329, 15743794, 

CARLOS, C, BRAUNREUTHER, , M, , 12/19/2012, , , 1026 WASHINGTON AVENUE, 4B, , , 12203, , , , 15433777, 
CARLOS, CLYDE, BRAUNREUTHER, , M, , 12/19/2012, 908-488-2185, 908-488-2185, 107 POST AVENUE, 4B, NEW YORK, NY, 10034, , , 753425, 15472534, 
CARLOS, C, BRAUNREUTHER, , M, , 12/19/2012, 908-488-2185, 908-488-2185, 1026 WASHINGTON AVENUE, 4B, ALBANY, NY, 12203, , , 794350, 15860749, 

ANGEL, GREG, MOREL, , M, , 9/24/2015, , , 2848 WEST 16TH STREET, 2/F, , , 11224, , , , 15411761, 
ANGEL, , MOREL, , M, , 9/24/2015, 959-270-4345, 959-270-4345, 2850 W 16 STREET, 2F, BROOKLYN, NY, 11224, , , 800131, 15575662, 
ANGEL, GREG, MOREL, , M, , 9/24/2015, 959-270-4345, 959-270-4345, 2848 WEST 16TH STREET, 2/F, BROOKLYN, NY, 11224, , AMOREL@AMGGT.COM, 804396, 15910715, 

RYLEY, MARIA, SHERMAN, , F, , 8/11/2013, , , 260 SCHENECTADY AVENUE, 1, , , 11213, , , , 15396348, 
RYLEY, , SHERMAN, , F, , 8/11/2013, 860-619-1231, 860-619-1231, 530 EAST 138TH STREET, 604, BRONX, NY, 10454, , , 793896, 15468235, 
RYLEY, MARIA, SHERMAN, , F, , 8/11/2013, 860-619-1231, 860-619-1231, 260 SCHENECTADY AVENUE, 1, BROOKLYN, NY, 11213, , RSHERMAN@AMGGT.COM, 816299, 15664804, 

LINDSEY, , SANCHEZ, , F, , 12/22/2012, , , , , , , , , , , 15752922, 
LINDSEY, E, SANCHEZ, , F, , 12/22/2012, 631-323-3524, 631-323-3524, 217 MELBA STREET, PH, S.I, , , , , 753672, 15569154, 
LINDSEY, E, SANCHEZ, , F, , 12/22/2012, 631-323-3524, 631-323-3524, 217 MELBA STREET, PH, STATEN ISLAND, NY, 99999, , , 804705, 15904073, 

NICHOLAS, ALEXIS, TAITAGUE, , M, , 12/27/2012, , , 140 FILBERT STREET, , , , 23505, , , , 15568549, 
NICHOLAS, , TAITAGUE, , M, , 12/27/2012, 934-632-6894, 934-632-6894, 400 EAST 30TH STREET, , NEW YORK, NY, 10016, , , 826125, 15721175, 
NICHOLAS, ALEXIS, TAITAGUE, , M, , 12/27/2012, 934-632-6894, 934-632-6894, 140 FILBERT STREET, , NORFOLK, VA, 23505, , NTAITAGUE@AMGGT.COM, 829135, 15892136, 

ANTHONY, ROBERT, SISSON, , M, , 12/5/2002, , , 367 E 201ST STREET, B1, , , 10467, KELLY, , , 15851157, 
ANTHONY, ROBERT, SISSON, , M, , 12/5/2002, 718-471-6497, 718-471-6497, 367 E 201ST STREET, B1, BRONX, NY, 10467, KELLY, ASISSON@AMGGT.COM, 736507, 15662368, 
ANTHONY, , SISSON, , M, , 12/5/2002, 718-471-6497, 718-471-6497, 2638 DECATUR AVENUE, PH, BRONX, NY, 10458, , , 770778, 15387374, 

KATHRYN, TING, SUNG, , F, , 12/19/1994, , , 61 EVAN ROAD, PH, , , 10990, , , , 15730301, 
KATHRYN, TING, SUNG, , F, , 12/19/1994, 516-108-5297, 516-108-5297, 61 EVAN ROAD, PH, WARWICK, NY, 10990, , KSUNG@AMGGT.COM, 747850, 15868167, 
KATHRYN, , SUNG, , F, , 12/19/1994, 516-108-5297, 516-108-5297, 171 MORRIS AVENUE, , BRONX, NY, 10456, , , 767820, 15469920, 

AVA, MARY, GILSTRAP, , F, , 8/19/2013, , , 8268 164 STREET, , , , 11432, , , , 15746196, 
AVA, MARY, GILSTRAP, , F, , 8/19/2013, 860-300-3479, 860-300-3479, 8268 164 STREET, , JAMAICA, NY, 11432, , , 782029, 15707655, 
AVA, MARY, GILSTRAP, , F, , 8/19/2013, 860-300-3479, 860-300-3479, 11532 158 STREET, , JAMAICA, NY, 11434, , AGILSTRAP@AMGGT.COM, 812073, 15595287, 

LYNN, , JOHNSON, , F, , 12/8/1993, , , , , , , , , , , 15866791, 
LYNN, M, JOHNSON, , F, , 12/8/1993, 845-363-9970, 845-363-9970, 15948 HRD, 1B, NEW YORK, NY, 10039, BILLS, LJOHNSON@AMGGT.COM, 799412, 15953941, 
LYNN, , JOHNSON, , F, , 12/8/1993, 845-363-9970, 212-540-4411^^845-363-9970, 15948 HARLEM RIVER DRIVE, 1B, NEW YORK, NY, 10039, , , 822870, 15675068, 

LANNA, LARA, MENSE, , F, , 2/26/2001, , , 1214 HOE AVENUE, 2, , , 10459, , , , 15392938, 
LANNA, LARA, MENSE, , F, , 2/26/2001, 848-301-7051, 848-301-7051, 1214 HOE AVENUE, 2, BRONX, NY, 10459, , , 771132, 15446377, 
LANNA, , MENSE, , F, , 2/26/2001, 848-301-7051, 848-301-7051, 225 EAST 149TH STREET14, 14H, BRONX, NY, 10451, SINGER, LMENSE@AMGGT.COM, 815928, 15816920, 

CARLA, , BRENENSON, , F, , 5/17/2015, , , 203 EAST 175TH STREET, 26, , , 10457, , , , 15379907, 
CARLA, , BRENENSON, , F, , 5/17/2015, 212-788-5899, 212-788-5899, 203 EAST 175TH STREET, 26, BRONX, NY, 10457, , , 762269, 15774937, 
CARLA, , BRENENSON, , F, , 5/17/2015, 212-788-5899, 212-788-5899, 40 MARCY PLACE, 4F, BRONX, NY, 10452, , CBRENENSON@AMGGT.COM, 815034, 15571227, 

RICHARD, , HOMAN, , M, , 9/15/1993, , , , , , , , , , , 15392634, 
RICHARD, JEFF, HOMAN, , M, , 9/15/1993, 973-361-9488, 973-361-9488, 1363 STREET JOHNS PLACE, 1R, BROOKLYN, NY, 11213, , , 796281, 15454448, 
RICHARD, JEFF, HOMAN, , M, , 9/15/1993, 860-205-9067, 860-864-4640^^860-205-9067, 1363 STREET JOHNS PLACE, 4F, BROOKLYN, NY, 11213, , , 818511, 15542045, 

MARIA, LILLIAN, PUGH, , F, , 4/22/2011, , , 1684 WEST 1 STREET, D8, , , 11223, TIMBERLAKE, , , 15634456, 
MARIA, , PUGH, , F, , 4/22/2011, 484-319-8976, 484-319-8976, 50 SHORE BOULEVARD, 2A, BROOKLYN, NY, 11235, , , 756322, 15421335, 
MARIA, LILLIAN, PUGH, , F, , 4/22/2011, 484-319-8976, 484-319-8976, 1684 WEST 1 STREET, D8, BROOKLYN, NY, 11223, TIMBERLAKE, MPUGH@AMGGT.COM, 770825, 15516112, 

LARRY, MARK, BROWDER, , M, , 4/27/2006, , , 1631 EDISON AVENUE, , , , 10461, , , , 15637321, 
LARRY, M, BROWDER, , M, , 4/27/2006, 609-524-3760, 609-524-3760, 2148 BARNES AVENUE, 331, BRONX, NY, 10462, , , 713769, 15582596, 
LARRY, MARK, BROWDER, , M, , 4/27/2006, 609-524-3760, 609-524-3760, 1631 EDISON AVENUE, , BRONX, NY, 10461, , LBROWDER@AMGGT.COM, 781488, 15547117, 

DANIELLE, , CALLENDAR, , F, , 12/8/1994, , , 227 MADISON STREET, , , , 10002, , , , 15375343, 
DANIELLE, , CALLENDAR, , F, , 12/8/1994, 347-368-4153, 347-368-4153, ROOM 1170B, , NEW YORK, NY, 10002, , , 759108, 15377419, 
DANIELLE, , CALLENDAR, , F, , 12/8/1994, 347-368-4153, 347-368-4153, 227 MADISON STREET, , MANHATTAN, NY, 10002, , , 807074, 15782496, 

ELIDA, , CASTELLANOS, , F, , 12/18/2009, , , 786 E149TH STREET, 2D, , , 10455, , , , 15375175, 
