AMANDA, , WIEDEL, , F, , 11/2/2005, 609-831-9721, 609-831-9721, 735 PELHAM PARKWAY N, 1H, BRONX, NY, 10467, , AWIEDEL@AMGGT.COM, , 15415697, 
JADE, SUE, MENDOZA, , F, , 2/14/2001, , , 1006 INDIAN TRACE CIRCLE, 104, , , 33407, , , , 15630567, 
SADIE, MARIA, MENDOZA, , F, , 2/14/2001, 516-448-6947, 516-448-6947, 1006 INDIAN TRACE CIRCLE, 104, WEST PALM BEACH, FL, 33407, , SMENDOZA@AMGGT.COM, 825727, 15403013,
SADIE, , MENDOZA, , F, , 2/14/2001, 516-448-6947, 860-633-5947^^516-448-6947, 2157 CRUGER AVENUE, , , , , , , 830776, 15506416, 

CINDY, , MADAY, , F, , 5/26/2002, , , 858 E 217TH STREET, PH, , , 10467, , , , 16004704, 
CINDY, , MADAY, , F, , 5/26/2002, 860-114-3089, 860-114-3089, 858 E 217TH STREET, PH, BRONX, NY, 10467, , , 781547, 15418786, 
CINDY, , MADAY, , F, , 5/26/2002, 860-114-3089, 860-114-3089, 624 E 222 STREET, , BRONX, NY, 10467, , , 813404, 15387957, 

DAVID, JOHN, JOSEPH, , M, , 2/6/2013, , , MABON BUILDING, , , , 10035, ROCHA, , , 15690743, 
DAVID, , JOSEPH, , M, , 2/6/2013, 551-416-2324, 551-416-2324, 219 E 121 STREET, , NEW YORK, NY, 10035, , , 756379, 15625310, 
DAVID, JOHN, JOSEPH, , M, , 2/6/2013, 551-416-2324, 551-416-2324, MABON BUILDING, , NEW YORK, NY, 10035, ROCHA, DJOSEPH@AMGGT.COM, 808575, 15807095, 

CELIA, , ADAMS, , F, , 12/7/2000, , , UNK, , , , 10001, , , , 15829586, 
CELIA, , ADAMS, , F, , 12/7/2000, 516-972-3551, 203-118-1136^^516-972-3551, UNK, , NEW YORK, NY, 10001, , , 774690, 15539381, 
CELIA, , ADAMS, , F, , 12/7/2000, 516-972-3551, 516-972-3551, 880 THIERIOT AVENUE, 1H, BRONX, NY, 10473, , , 803751, 15635206, 

CONNIE, , LAWRENCE, , M, , 6/25/1943, , , , , , , , , , , 15677749, 
CONNIE, BRENT, LAWRENCE, , M, , 6/25/1943, 917-831-9099, 973-970-7623^^917-831-9099, 13740 45TH AVENUE, 4D, FLUSHING, NY, 11355, , , 738623, 15845163, 
CONNIE, BRENT, LAWRENCE, , M, , 6/25/1943, 203-954-8726, 203-954-8726, 9116 117TH STREET, 2 F, RICHMOND HILL, NY, 11418, , , 744474, 15950520, 

MARCO, , NORTON, , M, , 8/14/1998, , , 3830 BX BOULEVARD, 3, , , 10468, , , , 15524975, 
MARCO, , NORTON, , M, , 8/14/1998, 973-695-2054, 267-618-6858^^973-695-2054, 4138 BARNES AVENUE, 4D, BRONX, NY, 10468, , , 753044, 15460946, 
MARCO, , NORTON, , M, , 8/14/1998, 973-695-2054, 973-695-2054, 3830 BX BOULEVARD, 3, BRONX, NY, 10468, , MNORTON@AMGGT.COM, 805322, 16008258, 

JASE, , KIM, , M, , 11/18/1999, , , , , , , , , , , 15605927, 
JASE, ERIC, KIM, , M, , 11/18/1999, 908-950-9597, 908-950-9597, 2960 W 24 STREET, 6P, BROOKLYN, NY, 11224, , , 745559, 15414519, 
JASE, E, KIM, , M, , 11/18/1999, 908-950-9597, 908-950-9597, 293 MARTENSE STREET, GB, BROOKLYN, NY, 11226, , JKIM@AMGGT.COM, 806538, 15599501, 

ROBERT, , WOOD, , M, , 7/9/2006, , , 4220 104TH STREET, 4A, , , 11369, , , , 15621346, 
ROBERT, , WOOD, , M, , 7/9/2006, 484-363-1365, 484-363-1365, 4220 104TH STREET, 4A, EAST ELMHURST, NY, 11369, , , 725779, 15504945, 
ROBERT, , WOOD, , M, , 7/9/2006, 484-363-1365, 484-363-1365, 4212 104 STREEET, 4A, CORONA, NY, 11368, , RWOOD@AMGGT.COM, 778430, 15966866, 

JOHN, , MAZZAFERRO, , M, , 8/27/2005, , , , , , , , , , , 15541688, 
JOHN, TIM, MAZZAFERRO, , M, , 8/27/2005, 848-362-3733, 848-362-3733, 8767 FRANCIS LEWIS BOULEVARD, PH, QUEENS VILLAGE, NY, 11427, , , 739482, 15655484, 
JOHN, , MAZZAFERRO, , M, , 8/27/2005, 848-362-3733, 848-362-3733, , , , , , , , 778369, 15487407, 

KELLY, , KLABER, , F, , 12/21/1965, , , , , , , , , , , 15842966, 
KELLY, , KLABER, , F, , 12/21/1965, 347-293-2906, 347-293-2906, 2095 WEBSTER AVENUE, 2N, BRONX, NY, 10457, , , 713155, 15595230, 
KELLY, , KLABER, , F, , 12/21/1965, 570-534-5457, 609-954-3635^^570-534-5457, 2405 GRAND AVENUE, 2B, BRONX, NY, 10468, , , 796296, 15634565, 

MARIA, , BRUNO, , F, , 7/2/2014, , , 2041 HOLLAND AVENUE, 3F, , , 10462, , , , 15745801, 
MARIA, MOORES, BRUNO, , F, , 7/2/2014, 551-539-1604, 551-539-1604, 1856 MAYFLOWER AVENUE, , BRONX, NY, 10461, SUNDEBERGSABELLA, MBRUNO@AMGGT.COM, 797350, 15803904, 
MARIA, , BRUNO, , F, , 7/2/2014, 551-539-1604, 551-539-1604, 2041 HOLLAND AVENUE, 3F, BRONX, NY, 10462, , , 815002, 15718897, 

JAXON, J, SCHMIERER, , M, , 8/16/1994, , , , , , , , , , , 15545899, 
JAXON, J, SCHMIERER, , M, , 8/16/1994, 973-270-3066, 973-294-3110^^973-270-3066, , , , , , , , 733687, 15500841, 
JAXON, JAMES, SCHMIERER, , M, , 8/16/1994, 973-270-3066, 973-270-3066, 14325 84TH DRIVE, 2 F, JAMAICA, NY, 11435, HASS, JSCHMIERER@AMGGT.COM, 807997, 15867167, 

SCOTT, CHARLES, SPRUILL, , M, , 6/3/2009, , , 350 E150TH STREET, 1C, , , 10454, , , , 15435419, 
SCOTT, , SPRUILL, , M, , 6/3/2009, 848-301-8653, 848-301-8653, 2343 PROSPECT AVENUE, 3H, BRONX, NY, 10459, , , 736577, 15917037, 
SCOTT, CHARLES, SPRUILL, , M, , 6/3/2009, 848-301-8653, 848-301-8653, 350 E150TH STREET, 1C, BRONX, NY, 10454, , , 742224, 15964838, 

ROBERT, , GOLDMAN, , M, , 12/19/2011, , , 38 FEATHERBED LANE, 4I, , , 10452, , , , 15799639, 
ROBERT, , GOLDMAN, , M, , 12/19/2011, 845-350-9257, 845-350-9257, 38 FEATHERBED LANE, 4I, BRONX, NY, 10452, , , 826860, 15964361, 
ROBERT, , GOLDMAN, , M, , 12/19/2011, 845-350-9257, 845-350-9257, 3840 FEATHERBED LANE, 3I, BRONX, NY, 10452, , , 829859, 15620630, 

ELY, , COWAN, , M, , 8/18/2014, , , 653 RIVER AVENUE, , , , 10451, , , , 15662430, 
ELY, , COWAN, , M, , 8/18/2014, 929-417-6557, 929-417-6557, 653 RIVER AVENUE, , BRONX, NY, 10451, , , 739282, 15449627, 
ELY, RYAN, COWAN, , M, , 8/18/2014, 929-417-6557, 929-417-6557, 1 MABON BUILDING, 13, NEW YORK, NY, 10035, HARTAGE, ECOWAN@AMGGT.COM, 804489, 15999708, 

CHRISTOPHER, , ZARAGOSA, , M, , 4/17/2007, , , , , , , , , , , 15868797, 
CHRISTOPHER, , ZARAGOSA, , M, , 4/17/2007, 718-179-9246, 718-179-9246, 256 STAGG STREET, 2L, BROOKLYN, NY, 11206, , , 716442, 15808253, 
CHRISTOPHER, , ZARAGOSA, , M, , 4/17/2007, 718-179-9246, 718-179-9246, , , , , , , , 716471, 15835807, 

JADE, , DANZIGER, , F, , 12/7/1998, 267-713-4389, 267-713-4389, 3730 73RD STREET, 3G, JACKSON HEIGHTS, NY, 11372, , , , 15473735, 
ANAIA, SEPTEMBER, DANZIGER, , F, , 12/7/1998, , , 3730 73RD STREET, 3G, , , 11372, , , , 15467402, 
JADE, , DANZIGER, , F, , 12/7/1998, 929-942-8487, 929-942-8487, , , , , , , , , 15481204, 

AUDREY, , INGRASSIA, , F, , 4/10/2007, , , 785 COURTLAND AVENUE, 7D, , , 10451, , , , 15783171, 
AUDREY, , INGRASSIA, , F, , 4/10/2007, 267-668-2482, 267-668-2482, 1260 METCALF AVENUE, 2FL, BRONX, NY, 10472, , AINGRASSIA@AMGGT.COM, 765057, 15634098, 
AUDREY, , INGRASSIA, , F, , 4/10/2007, 267-668-2482, 267-668-2482, 785 COURTLAND AVENUE, 7D, BRONX, NY, 10451, , , 815886, 16005725, 

LYNN, , HUNTE, , F, , 5/28/1997, , , 680 MELROSE AVENUE, 2S, , , 10455, , , , 15531739, 
LYNN, , HUNTE, , F, , 5/28/1997, 610-374-3157, 610-374-3157, 680 MELROSE AVENUE, 2S, BRONX, NY, 10455, , , 733244, 15563113, 
LYNN, , HUNTE, , F, , 5/28/1997, 610-374-3157, 631-768-2324^^610-374-3157, 324 E 148TH STREET, 3, BRONX, NY, 10454, , , 736329, 15743794, 

ANGEL, GREG, MOREL, , M, , 9/24/2015, , , 2848 WEST 16TH STREET, 2/F, , , 11224, , , , 15411761, 
ANGEL, , MOREL, , M, , 9/24/2015, 959-270-4345, 959-270-4345, 2850 W 16 STREET, 2F, BROOKLYN, NY, 11224, , , 800131, 15575662, 
ANGEL, GREG, MOREL, , M, , 9/24/2015, 959-270-4345, 959-270-4345, 2848 WEST 16TH STREET, 2/F, BROOKLYN, NY, 11224, , AMOREL@AMGGT.COM, 804396, 15910715, 

RYLEY, MARIA, SHERMAN, , F, , 8/11/2013, , , 260 SCHENECTADY AVENUE, 1, , , 11213, , , , 15396348, 
RYLEY, , SHERMAN, , F, , 8/11/2013, 860-619-1231, 860-619-1231, 530 EAST 138TH STREET, 604, BRONX, NY, 10454, , , 793896, 15468235, 
RYLEY, MARIA, SHERMAN, , F, , 8/11/2013, 860-619-1231, 860-619-1231, 260 SCHENECTADY AVENUE, 1, BROOKLYN, NY, 11213, , RSHERMAN@AMGGT.COM, 816299, 15664804, 

LINDSEY, , SANCHEZ, , F, , 12/22/2012, , , , , , , , , , , 15752922, 
LINDSEY, E, SANCHEZ, , F, , 12/22/2012, 631-323-3524, 631-323-3524, 217 MELBA STREET, PH, S.I, , , , , 753672, 15569154, 
LINDSEY, E, SANCHEZ, , F, , 12/22/2012, 631-323-3524, 631-323-3524, 217 MELBA STREET, PH, STATEN ISLAND, NY, 99999, , , 804705, 15904073, 

NICHOLAS, ALEXIS, TAITAGUE, , M, , 12/27/2012, , , 140 FILBERT STREET, , , , 23505, , , , 15568549, 
NICHOLAS, , TAITAGUE, , M, , 12/27/2012, 934-632-6894, 934-632-6894, 400 EAST 30TH STREET, , NEW YORK, NY, 10016, , , 826125, 15721175, 
NICHOLAS, ALEXIS, TAITAGUE, , M, , 12/27/2012, 934-632-6894, 934-632-6894, 140 FILBERT STREET, , NORFOLK, VA, 23505, , NTAITAGUE@AMGGT.COM, 829135, 15892136, 

ANTHONY, ROBERT, SISSON, , M, , 12/5/2002, , , 367 E 201ST STREET, B1, , , 10467, KELLY, , , 15851157, 
ANTHONY, ROBERT, SISSON, , M, , 12/5/2002, 718-471-6497, 718-471-6497, 367 E 201ST STREET, B1, BRONX, NY, 10467, KELLY, ASISSON@AMGGT.COM, 736507, 15662368, 
ANTHONY, , SISSON, , M, , 12/5/2002, 718-471-6497, 718-471-6497, 2638 DECATUR AVENUE, PH, BRONX, NY, 10458, , , 770778, 15387374, 

LYNN, , JOHNSON, , F, , 12/8/1993, , , , , , , , , , , 15866791, 
LYNN, M, JOHNSON, , F, , 12/8/1993, 845-363-9970, 845-363-9970, 15948 HRD, 1B, NEW YORK, NY, 10039, BILLS, LJOHNSON@AMGGT.COM, 799412, 15953941, 
LYNN, , JOHNSON, , F, , 12/8/1993, 845-363-9970, 212-540-4411^^845-363-9970, 15948 HARLEM RIVER DRIVE, 1B, NEW YORK, NY, 10039, , , 822870, 15675068, 

LANNA, LARA, MENSE, , F, , 2/26/2001, , , 1214 HOE AVENUE, 2, , , 10459, , , , 15392938, 
LANNA, LARA, MENSE, , F, , 2/26/2001, 848-301-7051, 848-301-7051, 1214 HOE AVENUE, 2, BRONX, NY, 10459, , , 771132, 15446377, 
LANNA, , MENSE, , F, , 2/26/2001, 848-301-7051, 848-301-7051, 225 EAST 149TH STREET14, 14H, BRONX, NY, 10451, SINGER, LMENSE@AMGGT.COM, 815928, 15816920, 

CARLA, , BRENENSON, , F, , 5/17/2015, , , 203 EAST 175TH STREET, 26, , , 10457, , , , 15379907, 
CARLA, , BRENENSON, , F, , 5/17/2015, 212-788-5899, 212-788-5899, 203 EAST 175TH STREET, 26, BRONX, NY, 10457, , , 762269, 15774937, 
CARLA, , BRENENSON, , F, , 5/17/2015, 212-788-5899, 212-788-5899, 40 MARCY PLACE, 4F, BRONX, NY, 10452, , CBRENENSON@AMGGT.COM, 815034, 15571227, 

ELIDA, , CASTELLANOS, , F, , 12/18/2009, , , 786 E149TH STREET, 2D, , , 10455, , , , 15375175, 
ELIDA, SHARRI, CASTELLANOS, , F, , 12/18/2009, 934-529-2851, 934-529-2851, 115 E MOSHOLU PARKWAY, B24, BRONX, NY, 10467, , ECASTELLANOS@AMGGT.COM, 745448, 15861306, 
ELIDA, , CASTELLANOS, , F, , 12/18/2009, 934-529-2851, 267-107-1805^^934-529-2851, 786 E149TH STREET, 2D, BRONX, NY, 10455, , , 748130, 15960294, 

RUTH, , REED, , F, , 7/16/2003, , , , , , , , , , , 15508310, 
RUTH, SARAH, REED, , F, , 7/16/2003, 201-665-8839, 732-931-1813^^201-665-8839, 1414 HAZEN STREET, , , , , , , 720648, 15921347, 
RUTH, SARAH, REED, , F, , 7/16/2003, 516-277-9977, 516-277-9977, 1414 HAZEN STREET, , ELMHURST, NY, 11377, , , 725007, 15662526, 

ROBERT, D, SCHIMKE, , M, , 12/17/2004, , , 3825 PARSONS BOULEVARD, 4G, , , 11354, , , , 15406781, 
ROBERT, D, SCHIMKE, , M, , 12/17/2004, 203-846-6328, 203-846-6328, 3825 PARSONS BOULEVARD, 4G, FLUSHING, NY, 11354, , , 800752, 15638637, 
ROBERT, DONALD, SCHIMKE, , M, , 12/17/2004, 203-846-6328, 203-846-6328, 11458 198TH STREET, , ST ALBANS, NY, 11412, , , 816365, 15564472, 

CLINTON, , STARKS, , M, , 12/20/1979, , , , , , , , , , , 16026537, 
CLINTON, , STARKS, , M, , 12/20/1979, 518-349-7441, 518-349-7441, , , , , , LYONS, CSTARKS@AMGGT.COM, 783787, 15421435, 
CLINTON, MARCUS, STARKS, , M, , 12/20/1979, 973-699-4203, 609-663-4716^^973-699-4203, 15 CLINTON AVENUE, PH, ROCKVILLE CENTRE, NY, 11570, , , 815346, 15715454, 

VELMA, , STONE, , F, , 12/3/2009, , , , , , , , , , , 15828064, 
VELMA, C, STONE, , F, , 12/3/2009, 862-764-8404, 862-764-8404, 2055 HAVILAND AVENUE, PH, BRONX, NY, 10472, , , 748357, 15863923, 
VELMA, CONNIE, STONE, , F, , 12/3/2009, 862-764-8404, 862-764-8404, 1939 BOGART AVENUE, 2FL, BRONX, NY, 10462, , VSTONE@AMGGT.COM, 797637, 15901157, 

ERIC, J, JONES, , M, , 11/26/2013, , , 871 LONGWOOD AVENUE, 4 C, , , 10459, PRIETO, , , 15798634, 
ERIC, JOHN, JONES, , M, , 11/26/2013, 267-468-1184, 267-468-1184, 381 BEDFORD BOULEVARD, 2, BRONX, NY, 10458, , , 721151, 15412475, 
ERIC, J, JONES, , M, , 11/26/2013, 267-468-1184, 267-468-1184, 871 LONGWOOD AVENUE, 4 C, BRONX, NY, 10459, PRIETO, EJONES@AMGGT.COM, 800049, 15514745, 

CHARLES, E, KIMBROUGH, , M, , 5/5/2014, , , 2257 HAVILAND AVENUE, 1C, , , 10462, , , , 15868516, 
CHARLES, E, KIMBROUGH, , M, , 5/5/2014, 551-598-3585, 570-966-3664^^551-598-3585, 2257 HAVILAND AVENUE, 1C, BRONX, NY, 10462, , , 711401, 15527719, 
CHARLES, E, KIMBROUGH, , M, , 5/5/2014, 551-598-3585, 551-598-3585, 2284 LACOMBE AVENUE, H, BRONX, NY, 10473, , , 745295, 15596434, 

JUAN, , CIVIL, , M, , 10/7/2014, , , , , , , , , , , 15441739, 
JUAN, D, CIVIL, , M, , 10/7/2014, 862-949-9463, 862-949-9463, , , , , , , , 721375, 15639999, 
JUAN, DWAYNE, CIVIL, , M, , 10/7/2014, 862-949-9463, 862-949-9463, , , , , , , JCIVIL@AMGGT.COM, 803799, 15478730, 

TANNER, , JIMENEZ, , M, , 12/28/2008, , , , , , , , , , , 15594690, 
TANNER, , JIMENEZ, , M, , 12/28/2008, 212-521-2498, 212-521-2498, 2035 MAYFLOWER AVENUE, 4, BRONX, NY, 10461, , , 721409, 15899379, 
TANNER, DANNY, JIMENEZ, , M, , 12/28/2008, 212-521-2498, 212-521-2498, 1720 MAYFLOWER AVENUE, PH, BRONX, NY, 10461, , , 737122, 15399102, 

LESLIE, , PONDER, , M, , 12/9/1990, , , , , , , , , , , 16018582, 
LESLIE, , PONDER, , M, , 12/9/1990, 212-401-6960, 973-635-9448^^212-401-6960, 315 SUTTER AVENUE, 1, BKLYN, NY, 11212, , , 718426, 15446503, 
LESLIE, , PONDER, , M, , 12/9/1990, 845-804-1646, 845-804-1646, 315 SUTTER AVENUE, 19C, BROOKLYN, NY, 11212, , LPONDER@AMGGT.COM, 729684, 15438015, 

ROSE, , MARTI, , F, , 12/27/1951, , , , , , , , , , , 15529631, 
ROSE, SHARON, MARTI, , F, , 12/27/1951, 212-692-2989, 212-692-2989, 402 E52ND STREET, PVT, BROOKLYN, NY, 11203, , RMARTI@AMGGT.COM, 744340, 15456608, 
ROSE, SHARON, MARTI, , F, , 12/27/1951, 201-114-4861, 631-408-2765^^201-114-4861, 1045 STREET JOHNS, E3, BROOKLYN, NY, 11213, , , 763929, 15781630, 

JOSE, , BOONE, , M, , 4/2/2008, , , 1304 SHERIDAIN AVENUE, 1C, , , 10457, , , , 16014764, 
JOSE, , BOONE, , M, , 4/2/2008, 929-446-5686, 929-446-5686, 1304 SHERIDAIN AVENUE, 1C, BRONX, NY, 10457, , , 774311, 15416832, 
JOSE, LAWRENCE, BOONE, , M, , 4/2/2008, 929-446-5686, 929-446-5686, 246 CENTER AVENUE, , NEW ROCHELL, NY, 10805, , JBOONE@AMGGT.COM, 818062, 15690599, 

LILLY, L, SOMMERS, , F, , 6/14/2012, , , 225 EAST 45TH STREET, , , , 10017, , , , 15803890, 
LILLY, L, SOMMERS, , F, , 6/14/2012, 934-826-6202, 934-826-6202, 219 EAST 121ST STREET, , NEW YORK, NY, 10035, , , 804465, 15652498, 
LILLY, L, SOMMERS, , F, , 6/14/2012, 934-826-6202, 934-826-6202, 225 EAST 45TH STREET, , NEW YORK, NY, 10017, , , 814910, 15792458, 

RICHARD, , ENGELMAN, , M, , 4/2/1928, , , , , , , , , , , 15637095, 
RICHARD, DUSTIN, ENGELMAN, , M, , 4/2/1928, 973-901-6175, 347-282-9584^^973-901-6175, , , , , , , , 747166, 15499214, 
RICHARD, DUSTIN, ENGELMAN, , M, , 4/2/1928, 610-836-1915, 610-836-1915, 310 SO 1ST STREET, , BROOKLYN, NY, 11221, , , 747178, 15869455, 

DONI, , BISHOP, , F, , 9/20/1995, , , 4090 BOSTON ROAD, , , , 10475, , , , 15812760, 
DONI, , BISHOP, , F, , 9/20/1995, 516-304-3441, 516-304-3441, 630 E 240TH STREET, , BRONX, NY, 10466, , , 753164, 15864238, 
DONI, , BISHOP, , F, , 9/20/1995, 516-304-3441, 516-304-3441, 4090 BOSTON ROAD, , BRONX, NY, 10475, , , 815846, 15387895, 

ROSIE, , BUSER, , F, , 2/7/2007, , , 300 EAST 158TH STREET, 8C, , , 10451, , , , 15527948, 
ROSIE, , BUSER, , F, , 2/7/2007, 516-429-4641, 516-429-4641, 1137 WARD AVENUE, PH, BRONX, NY, 10472, , , 750296, 15493815, 
ROSIE, , BUSER, , F, , 2/7/2007, 516-429-4641, 516-429-4641, 300 EAST 158TH STREET, 8C, BRONX, NY, 10451, , RBUSER@AMGGT.COM, 809792, 16017371, 

ROBERT, DONNIE, OHAGAN, , M, , 11/27/2006, , , 14412 VILLAGE ROAD, 63E, , , 11435, , , , 15785965, 
ROBERT, , OHAGAN, , M, , 11/27/2006, 908-865-1648, 908-865-1648, 73 CRYSTAL AVENUE, PH, NJ, NJ, 7052, , , 736368, 15933977, 
ROBERT, DONNIE, OHAGAN, , M, , 11/27/2006, 908-865-1648, 908-865-1648, 14412 VILLAGE ROAD, 63E, JAMAICA, NY, 11435, , , 774033, 15757480, 

SALVADOR, , SANDRE, , M, , 2/16/2005, , , , , , , , , , , 16013868, 
SALVADOR, , SANDRE, , M, , 2/16/2005, 212-888-3498, 212-888-3498, , , , , , , , 723783, 15561729, 
SALVADOR, , SANDRE, , M, , 2/16/2005, 212-888-3498, 212-888-3498, 1757 STORY AVENUE, 2B, BRONX, NY, 10473, , , 768333, 15551818, 

WENDY, , LOCKWOOD, , F, , 4/9/1979, , , , , , , , , , , 15412514, 
WENDY, VIOLET, LOCKWOOD, , F, , 4/9/1979, 347-854-2702, 347-854-2702, 30911 E 6TH STREET, , NEW YORK, NY, 10003, , , 802736, 15553111, 
WENDY, , LOCKWOOD, , F, , 4/9/1979, 267-597-1479, 609-538-6469^^267-597-1479, 219 EAST 121ST STREET, , NEW YORK, NY, 10035, , , 803950, 15616945, 

CHAD, MICHAEL, KOSTEL, , M, , 8/10/2011, , , 230 CLINTON STREET, 13D, , , 10002, , , , 15633465, 
CHAD, MICHAEL, KOSTEL, , M, , 8/10/2011, 212-371-3246, 212-371-3246, 240 MADISON STREET, 7E, NEW YORK, NY, 10002, , , 750377, 15645358, 
CHAD, MICHAEL, KOSTEL, , M, , 8/10/2011, 212-371-3246, 212-371-3246, 230 CLINTON STREET, 13D, NEW YORK, NY, 10002, , , 753013, 15929678, 

PHILLIP, , RASCO, , M, , 4/23/1991, , , , , , , , , , , 15461143, 
PHILLIP, , RASCO, , M, , 4/23/1991, 609-754-3633, 609-754-3633, 1595 METROPOLITAN AVENUE, 6C, BRONX, NY, 10462, , , 735699, 15473976, 
PHILLIP, FRANK, RASCO, , M, , 4/23/1991, 609-754-3633, 732-377-4402^^609-754-3633, HOMELESS, UNK, BROOKLYN, NY, 11235, , , 738519, 15701436, 

CAROL, , HARGES, , F, , 3/22/2002, , , , , , , , , , , 15391316, 
CAROL, , HARGES, , F, , 3/22/2002, 203-902-4027, 203-902-4027, , , , , , , , 745329, 15695251, 
CAROL, E, HARGES, , F, , 3/22/2002, 203-902-4027, 203-902-4027, 18 COOPER STREET, 3FL, BROOKLYN, NY, 11207, , , 767948, 15711626, 

BARBARA, , RICE, , F, , 12/18/1997, , , , , , , , , , , 15759350, 
BARBARA, , RICE, , F, , 12/18/1997, 862-950-6848, 484-141-1777^^862-950-6848, , , , , , , , 786829, 15427655, 
BARBARA, A, RICE, , F, , 12/18/1997, 610-124-5816, 610-124-5816, 3152 HULL AVENUE, C3, BRONX, NY, 10467, , BRICE@AMGGT.COM, 809534, 15557783, 

MICHAEL, , KWIATKOWSKI, , M, , 12/7/2007, , , , , , , , , , , 15762744, 
MICHAEL, JOSE, KWIATKOWSKI, , M, , 12/7/2007, 201-857-4624, 201-857-4624, , , , , , , , 753835, 15631476, 
MICHAEL, , KWIATKOWSKI, , M, , 12/7/2007, 201-857-4624, 201-857-4624, 219 E 121 STREET, , NEW YORK, NY, 10035, , , 812205, 15523163, 

ERIKA, GERTRUDE, DIAZ, , F, , 8/10/1997, , , 301 E 162ND STREET, PH, , , 10451, , , , 15477229, 
ERIKA, , DIAZ, , F, , 8/10/1997, 518-647-3658, 518-647-3658, 674 E 149 STREET, 4J, BRONX, NY, 10455, , EDIAZ@AMGGT.COM, 800798, 15920096, 
ERIKA, GERTRUDE, DIAZ, , F, , 8/10/1997, 518-647-3658, 518-647-3658, 301 E 162ND STREET, PH, BRONX, NY, 10451, , , 810215, 15441998, 

SAMANTHA, I, SHARIF, , F, , 7/9/1994, , , 13016 127 STREET, PH, , , 11420, , , , 15505147, 
SAMANTHA, I, SHARIF, , F, , 7/9/1994, 732-778-7352, 732-778-7352, 13016 127 STREET, PH, SO OZONE PK, NY, 11420, , SSHARIF@AMGGT.COM, 730291, 16001279, 
